Check NPs,Check V,raw_order,condcode,cond.name,blockindex,Listnum,set,Condition,cond.cloze,good.bad,itemcode#,version,Word1,Word2,Word3,Word4,Word5,Word6,Word7,Word8,Target,Continuation,Target.Freq,Target.Prob,Nresponses,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
-,-,53,1,short.high,4,3,14,short,high,g,12,b,The researcher,learned,which,biologist,the,whale,,had,eaten,in the ocean.,5,0.166666667,30,bonded with during the encounter,eaten,thanked,been tagged by,followed,killed,splashed,attacked in the ocean,encountered,eaten,stimulated,been seen by,attacked,injured,licked,eaten,befriended,been studied by,eaten,killed,swallowed,avoided,eaten,been studied by,belonged to,tracked,seen,been tagged by,Bit,been tagged by,#REF!,#REF!
-,-,54,2,short.low,4,4,14,short,low,b,12,a,The researcher,learned,which,whale,the,biologist,,had,eaten,in the ocean.,0,0,30,been studying,encountered,captured,studied,studied,followed,studied,been studying for 5 years,been studying,tagged,researched,been investigating,researched,watched,discovered,studied,studied,tagged,joined the activists,studied,observed,studied,already tagged,tagged,based his theory around,studied,tagged,studied,inseminated,studied,#REF!,#REF!
-,-,55,3,long.high,4,2,14,long,high,g,12,b,The researcher,learned,which,biologist,the,whale,in the documentary,had,eaten,in the ocean.,2,0.064516129,31,a connection with,attacked,attacked,attacked,attacked,attacked,attacked,been studied,been studied by,befriended,befriended,belonged to,eaten,eaten,encountered,encountered,filmed,followed,grown close to,grown close to,inspired,killed,looked at,seen,splashed,sprayed with water,swallowed,swallowed,swallowed,swam past,swam with,#REF!
-,-,56,4,long.low,4,1,14,long,low,b,12,a,The researcher,learned,which,whale,the,biologist,in the documentary,had,eaten,in the ocean.,0,0,31,autopsied,been following,examined,filmed,filmed,filmed,followed,harpooned,investigated ,kept an eye on,killed,marked,observed,observed,pictured,revealed,seen,seen,shown pictures of,studied,studied,studied,studied,studied,studied,studied,tagged,tagged,tagged,talked about,talked about,#REF!
-,-,57,1,short.high,5,2,15,short,high,g,14,a,The birthday boy,saw,which,friend,the,clown,,had,scared,at the party.,8,0.266666667,30,scared,embarrassed,pranked,danced with,scared,laughed at,pranked,upset,tricked,tricked,hit,scared,scared,entertained,made a balloon for,scared,prayed upon,scared,tricked,tickled,sat upon,scared,chosen,played a trick on.,scared to death,given a balloon,amused,given the most balloons to,scared,been,#REF!,#REF!
-,-,58,2,short.low,5,1,15,short,low,b,14,b,The birthday boy,saw,which,clown,the,friend,,had,scared,at the party.,0,0,30,been scared of,laughed at,laughed at,seen,seen,hired,played with,hired,been frightened of,been scared of,picked on,chosen,hugged,hired,hit,bought,hired.,liked,punched,been scared of,gotten a balloon from,been scared of,loved,at the party.,punched,been scared of,hired.,feared,hired for his party,hired,#REF!,#REF!
-,-,59,3,long.high,5,4,15,long,high,g,14,a,The birthday boy,saw,which,friend,the,clown,with the balloons,had,scared,at the party.,5,0.161290323,31,approached,at his party,cheered up,danced for,frightened,frightened ,handed them to,harrased,hit,laughed at,made a balloon for,made cry,made cry,made laugh,mimicked,performed for,played a trick on,pointed at,scared,scared,scared,scared,scared,seen,squirted,talked to,talked to,talked with,teased,tickled,winked at,#REF!
-,-,60,4,long.low,5,3,15,long,low,b,14,b,The birthday boy,saw,which,clown,the,friend,with the balloons,had,scared,at the party.,0,0,31,at his party,been frightened by,been scared by,been scared of,been scared of,cried about,cried over,enjoyed,filled,heckled,hired,hired,hugged,kicked,kicked,kicked,kicked,laughed at,laughed at,laughed at,liked,met,pranked,seen,spotted,talked to,talked to,teased,visited,waved at,working,#REF!
-,-,61,1,short.high,1,4,16,short,high,g,14,b,The birthday boy,saw,which,clown,the,friend,,had,laughed,at during the party.,2,0.066666667,30,been scared of,laughed at,laughed at,seen,seen,hired,played with,hired,been frightened of,been scared of,picked on,chosen,hugged,hired,hit,bought,hired.,liked,punched,been scared of,gotten a balloon from,been scared of,loved,at the party.,punched,been scared of,hired.,feared,hired for his party,hired,#REF!,#REF!
-,-,62,2,short.low,1,3,16,short,low,b,14,a,The birthday boy,saw,which,friend,the,clown,,had,laughed,at during the party.,1,0.033333333,30,scared,embarrassed,pranked,danced with,scared,laughed at,pranked,upset,tricked,tricked,hit,scared,scared,entertained,made a balloon for,scared,prayed upon,scared,tricked,tickled,sat upon,scared,chosen,played a trick on.,scared to death,given a balloon,amused,given the most balloons to,scared,been,#REF!,#REF!
-,-,63,3,long.high,1,2,16,long,high,g,14,b,The birthday boy,saw,which,clown,the,friend,with the balloons,had,laughed,at during the party.,3,0.096774194,31,at his party,been frightened by,been scared by,been scared of,been scared of,cried about,cried over,enjoyed,filled,heckled,hired,hired,hugged,kicked,kicked,kicked,kicked,laughed at,laughed at,laughed at,liked,met,pranked,seen,spotted,talked to,talked to,teased,visited,waved at,working,#REF!
-,-,64,4,long.low,1,1,16,long,low,b,14,a,The birthday boy,saw,which,friend,the,clown,with the balloons,had,laughed,at during the party.,1,0.032258065,31,approached,at his party,cheered up,danced for,frightened,frightened ,handed them to,harrased,hit,laughed at,made a balloon for,made cry,made cry,made laugh,mimicked,performed for,played a trick on,pointed at,scared,scared,scared,scared,scared,seen,squirted,talked to,talked to,talked with,teased,tickled,winked at,#REF!
