"","id","condcode","item","sentencetype","predictability","ROI","laterality","anteriority","window","amplitude","target","target.cloze","target.len","target.lg10WF"
"4598","7_184","7","184","merp","high","9","right","posterior","t300_500",4.97991363636364,"flowers",0.368,7,3.39
"4617","7_185","7","185","merp","high","7","left","posterior","t300_500",0.771910909090909,"purse",0.36,5,3
"4631","7_185","7","185","merp","high","8","midline","posterior","t300_500",-0.928771363636364,"purse",0.36,5,3
"4639","7_185","7","185","merp","high","9","right","posterior","t300_500",-1.49330818181818,"purse",0.36,5,3
"4686","7_186","7","186","merp","high","8","midline","posterior","t300_500",-0.0794365000000001,"lawnmower",0.342,9,1.4
"4695","7_186","7","186","merp","high","7","left","posterior","t300_500",1.47878636363636,"lawnmower",0.342,9,1.4
"4722","7_186","7","186","merp","high","9","right","posterior","t300_500",0.529262409090909,"lawnmower",0.342,9,1.4
"4775","7_187","7","187","merp","high","9","right","posterior","t300_500",0.204407272727273,"emails",0.342,6,1.6
"4791","7_187","7","187","merp","high","7","left","posterior","t300_500",1.73966818181818,"emails",0.342,6,1.6
"4817","7_187","7","187","merp","high","8","midline","posterior","t300_500",0.428527272727273,"emails",0.342,6,1.6
"4844","7_188","7","188","merp","high","9","right","posterior","t300_500",-1.925641875,"bathroom",0.342,8,3.5
"4874","7_188","7","188","merp","high","8","midline","posterior","t300_500",-1.785999375,"bathroom",0.342,8,3.5
"4883","7_188","7","188","merp","high","7","left","posterior","t300_500",-0.7844885625,"bathroom",0.342,8,3.5
"4905","7_189","7","189","merp","high","7","left","posterior","t300_500",1.85101363636364,"file",0.333,4,3.35
"4934","7_189","7","189","merp","high","8","midline","posterior","t300_500",2.91970909090909,"file",0.333,4,3.35
"4966","7_189","7","189","merp","high","9","right","posterior","t300_500",1.87296818181818,"file",0.333,4,3.35
"4987","7_190","7","190","merp","high","7","left","posterior","t300_500",-0.304072227272727,"card",0.333,4,3.64
"5007","7_190","7","190","merp","high","9","right","posterior","t300_500",-0.467416818181818,"card",0.333,4,3.64
"5015","7_190","7","190","merp","high","8","midline","posterior","t300_500",-0.691965,"card",0.333,4,3.64
"5046","7_191","7","191","merp","high","7","left","posterior","t300_500",4.46468340909091,"news",0.325,4,3.92
"5063","7_191","7","191","merp","high","9","right","posterior","t300_500",4.14941545454545,"news",0.325,4,3.92
"5084","7_191","7","191","merp","high","8","midline","posterior","t300_500",4.82513181818182,"news",0.325,4,3.92
"5124","7_192","7","192","merp","high","7","left","posterior","t300_500",2.55576888888889,"gloves",0.325,6,2.92
"5145","7_192","7","192","merp","high","9","right","posterior","t300_500",0.122252222222222,"gloves",0.325,6,2.92
"5153","7_192","7","192","merp","high","8","midline","posterior","t300_500",0.841048222222222,"gloves",0.325,6,2.92
"5196","7_193","7","193","merp","high","7","left","posterior","t300_500",4.03002611111111,"back",0.307,4,5.01
"5200","7_193","7","193","merp","high","9","right","posterior","t300_500",3.16228888888889,"back",0.307,4,5.01
"5233","7_193","7","193","merp","high","8","midline","posterior","t300_500",4.16632111111111,"back",0.307,4,5.01
"5269","7_194","7","194","merp","high","7","left","posterior","t300_500",3.57699295833333,"salt",0.307,4,3
"5278","7_194","7","194","merp","high","8","midline","posterior","t300_500",2.81353416666667,"salt",0.307,4,3
"5298","7_194","7","194","merp","high","9","right","posterior","t300_500",3.67740875,"salt",0.307,4,3
"5349","7_195","7","195","merp","high","9","right","posterior","t300_500",-3.33917136363636,"weeds",0.298,5,2.09
"5352","7_195","7","195","merp","high","7","left","posterior","t300_500",-2.94839727272727,"weeds",0.298,5,2.09
"5366","7_195","7","195","merp","high","8","midline","posterior","t300_500",-4.07617409090909,"weeds",0.298,5,2.09
"5416","7_196","7","196","merp","high","9","right","posterior","t300_500",4.82688,"milk",0.29,4,3.34
"5421","7_196","7","196","merp","high","7","left","posterior","t300_500",5.76650583333333,"milk",0.29,4,3.34
"5440","7_196","7","196","merp","high","8","midline","posterior","t300_500",5.31154583333333,"milk",0.29,4,3.34
"5522","7_197","7","197","merp","high","8","midline","posterior","t300_500",-0.644138395,"painting",0.281,8,3.17
"5525","7_197","7","197","merp","high","7","left","posterior","t300_500",-0.552505,"painting",0.281,8,3.17
"5536","7_197","7","197","merp","high","9","right","posterior","t300_500",-1.0451265,"painting",0.281,8,3.17
"5557","7_198","7","198","merp","high","7","left","posterior","t300_500",6.99955,"dinner",0.263,6,4.01
"5559","7_198","7","198","merp","high","9","right","posterior","t300_500",4.0864325,"dinner",0.263,6,4.01
"5589","7_198","7","198","merp","high","8","midline","posterior","t300_500",4.8890735,"dinner",0.263,6,4.01
"5640","7_199","7","199","merp","high","7","left","posterior","t300_500",2.97519,"dress",0.263,5,3.65
"5667","7_199","7","199","merp","high","9","right","posterior","t300_500",2.79736233333333,"dress",0.263,5,3.65
"5675","7_199","7","199","merp","high","8","midline","posterior","t300_500",2.43587555555556,"dress",0.263,5,3.65
"5723","7_200","7","200","merp","high","7","left","posterior","t300_500",-1.47489227272727,"door",0.263,4,4.17
"5729","7_200","7","200","merp","high","8","midline","posterior","t300_500",-2.44754409090909,"door",0.263,4,4.17
"5753","7_200","7","200","merp","high","9","right","posterior","t300_500",-2.72155227272727,"door",0.263,4,4.17
"5770","7_201","7","201","merp","high","8","midline","posterior","t300_500",-2.129313,"dust",0.263,4,3.09
"5791","7_201","7","201","merp","high","7","left","posterior","t300_500",-1.3157057,"dust",0.263,4,3.09
"5816","7_201","7","201","merp","high","9","right","posterior","t300_500",-1.7387105,"dust",0.263,4,3.09
"5849","7_202","7","202","merp","high","7","left","posterior","t300_500",-2.0515305,"bushes",0.254,6,2.4
"5892","7_202","7","202","merp","high","8","midline","posterior","t300_500",-2.59276,"bushes",0.254,6,2.4
"5894","7_202","7","202","merp","high","9","right","posterior","t300_500",-2.749302,"bushes",0.254,6,2.4
"5906","7_203","7","203","merp","high","7","left","posterior","t300_500",-1.46062583333333,"rocks",0.254,5,3.07
"5925","7_203","7","203","merp","high","8","midline","posterior","t300_500",-2.32025625,"rocks",0.254,5,3.07
"5944","7_203","7","203","merp","high","9","right","posterior","t300_500",-1.10359108333333,"rocks",0.254,5,3.07
"5980","7_204","7","204","merp","high","7","left","posterior","t300_500",1.15842777777778,"bahamas",0.246,7,2.04
"6019","7_204","7","204","merp","high","8","midline","posterior","t300_500",0.380872222222222,"bahamas",0.246,7,2.04
"6026","7_204","7","204","merp","high","9","right","posterior","t300_500",-0.838000555555556,"bahamas",0.246,7,2.04
"6052","7_205","7","205","merp","high","7","left","posterior","t300_500",1.51229090909091,"woods",0.219,5,3.17
"6060","7_205","7","205","merp","high","8","midline","posterior","t300_500",1.156845,"woods",0.219,5,3.17
"6106","7_205","7","205","merp","high","9","right","posterior","t300_500",0.664431818181818,"woods",0.219,5,3.17
"6124","7_206","7","206","merp","high","7","left","posterior","t300_500",3.101931,"house",0.219,5,4.42
"6155","7_206","7","206","merp","high","8","midline","posterior","t300_500",3.6838035,"house",0.219,5,4.42
"6176","7_206","7","206","merp","high","9","right","posterior","t300_500",2.716768,"house",0.219,5,4.42
"6208","7_207","7","207","merp","high","7","left","posterior","t300_500",2.10209625,"child",0.219,5,3.91
"6223","7_207","7","207","merp","high","8","midline","posterior","t300_500",2.54008333333333,"child",0.219,5,3.91
"6242","7_207","7","207","merp","high","9","right","posterior","t300_500",3.30173,"child",0.219,5,3.91
"6281","7_208","7","208","merp","high","7","left","posterior","t300_500",4.12875,"drugs",0.219,5,3.39
"6297","7_208","7","208","merp","high","9","right","posterior","t300_500",3.61844,"drugs",0.219,5,3.39
